p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_sigma,v_EW_pred,v_EW_frac_err,v_EW_sigma,n_s_pred,n_s_frac_err,n_s_sigma,delta_cp_pred,delta_cp_frac_err,delta_cp_sigma,score_core,score_all,score_core_sigma
107323,6,137.5978093229735,0.004099727390823165,26752868.522547282,245.86880401992036,0.001426350337420346,17.55979900398188,0.9684358820412966,0.0036645062092409814,0.841876676499196,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.003069384300158979,0.003133998673700996,18917134.74848939
106801,6,137.48487704612822,0.0032756207502312572,21375141.053724855,245.3927344491079,0.00335986333722725,41.36327754460467,0.9683845413897061,0.003611297947669301,0.8296527118347877,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0033180094141057994,0.00324333126724583,15114507.187936109
107941,6,137.73086376055124,0.005070672532735806,33088794.121487994,246.43059566594252,0.0008553150269779885,10.529783297126016,0.9684962359111003,0.0037270555613020677,0.856246645500087,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0036361575687541177,0.0034406093905003307,23397310.704590917
106367,6,137.3905985628258,0.0025876374178761792,16885689.46789544,244.9958350140867,0.004971834074865123,61.20824929566453,0.9683416004727476,0.003566794976420006,0.819428683987539,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.003963268945856617,0.0035761002818554205,11939985.527837574
108499,6,137.85040367289852,0.005942997419235177,38781170.899929814,246.9361534000596,0.002908591503775471,35.80767000297982,0.9685503357112202,0.003783123340470721,0.8691275502905235,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.004678628156889092,0.004034479213462161,27422428.925706465
105971,6,137.30426774211705,0.0019576509815687833,12774698.00557388,244.63282032372598,0.006446185022638368,79.35898381370095,0.9683022150355142,0.003525976821965166,0.8100511989319498,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.004763701224453756,0.004026014042639067,9033075.587525854
105527,6,137.2071214000458,0.0012487398726585856,8148681.7164664855,244.22481390810682,0.008103265745646878,99.75930459465872,0.9682578215810078,0.0034799684744614323,0.7994813288113896,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.005797510975157418,0.004646218694345293,5761988.09987608
109097,6,137.97789075250532,0.006873315587154307,44851984.21453907,247.47618598462233,0.005101884431087378,62.80929923111671,0.9686079033398286,0.0038427850967236213,0.8828341285306244,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006052755236617045,0.004874823951532484,31715142.187803663
105229,6,137.141709945473,0.0007714094265711991,5033850.546333324,243.9503814638563,0.009217848006432036,113.4809268071848,0.9682278860626291,0.003448943996921055,0.7923538244355063,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0065407871993012415,0.005110673979338038,3559469.8576963837
105227,6,137.1412703710364,0.0007682016969268997,5012918.430304851,243.94853802752291,0.009225334954419155,113.57309862385421,0.9682276847713721,0.0034487353833269046,0.7923058979457454,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006545874229940156,0.005113894299796098,3544668.61651332
105211,6,137.1377535007553,0.0007425378545453551,4845448.416919648,243.93378976384622,0.009285233677823808,114.3105118076889,0.9682260742576543,0.0034470662842308003,0.7919224422986426,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006586612441810519,0.005139701788782469,3426249.4344469444
105199,6,137.13511552740025,0.0007232876329050759,4719830.638107072,243.92272766410676,0.00933016138369442,114.863616794662,0.9682248661580459,0.0034458142377924625,0.7916347995347494,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.00661721453655902,0.005159109352214224,3337424.251245851
105173,6,137.1293989753099,0.000681571936821129,4447613.871900016,243.89875712835126,0.009427515521276644,116.06214358243676,0.9682222479784404,0.003443100817121344,0.7910114234381869,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006683658773792021,0.0052013093897398475,3144937.9299906604
105167,6,137.1280795876476,0.0006719438998737166,4384785.887980668,243.89322495057812,0.00944998395508847,116.33875247109415,0.9682216436605895,0.003442474516104791,0.7908675382355983,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006699018784717917,0.005211076692378116,3100511.836533536
105143,6,137.12280134926434,0.0006334267334463782,4133441.2030637613,243.87109430514943,0.009539865546464837,117.4452847425286,0.9682192259294058,0.0034399688355330202,0.7902918879537646,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006760557080273466,0.005250252248370016,2922784.305502083
105137,6,137.1214816176976,0.0006237961869071787,4070596.8427435635,243.8655611601195,0.009562337908701514,117.72194199402435,0.9682186213816343,0.003439342296232046,0.790147948008167,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0067759659076396615,0.005260072442918171,2878346.632184206
105107,6,137.1148819276645,0.0005756359218875656,3756325.8887858065,243.83789253204546,0.009674711509847049,119.10537339772702,0.9682155979526161,0.003436208884460728,0.7894280839562277,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006853152541470762,0.005309328489468536,2656123.5096422536
105097,6,137.1126816485844,0.0005595797096893626,3651550.6944960225,243.82866858061132,0.00971217374457265,119.56657096943388,0.9682145898872415,0.00343516414886676,0.7891880683908422,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.00687893335831444,0.005325803837245362,2582036.2593087796
105071,6,137.10696002779767,0.0005178270255407479,3379092.5617939224,243.8046837895774,0.00980958577866375,120.76581052112942,0.9682119683186327,0.003432447215911156,0.788563885388732,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006946082276267049,0.0053687698053815494,2389379.2662274647
105037,6,137.09947595645158,0.00046321311827469546,3022708.2119803787,243.77331357444686,0.009936993036930953,122.33432127765695,0.9682085388081357,0.0034288929507055163,0.7877473352704173,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.007034145186479875,0.005425233840621569,2137377.4759900626
