target_screening_net_mw,plant_net_power_mw,closes_engineering_net,uses_bpr_math,base_transport_multiplier,adjusted_transport_multiplier,base_direct_conversion_efficiency,adjusted_direct_conversion_efficiency,bpr_impedance_match,bpr_resonance_alignment,bpr_transport_multiplier,bpr_direct_conversion_multiplier,gross_fusion_mw,engineering_load_mw,rejected_heat_mw,radiator_area_m2,mirror_ratio,mirror_aspect_ratio,plug_field_t,collector_area_m2,temperature_kev,ion_density_m3,confinement_s,bpr_source_modules,warnings
50.0,-3.1727366208385757,False,True,0.160480947161671,0.12593321663947274,0.8252890535607258,0.86,0.8620689655172413,0.9934877059005693,0.7847237872580953,1.0470460104873618,696.8375541638186,53.17273662083858,696.5660579966693,35283.503176929866,4.0,8.0,50.055048396171,347.7252432023294,200.0,3.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
50.0,-3.210428035424222,False,True,0.160480947161671,0.12761358990302743,0.8252890535607258,0.86,0.8620689655172413,0.9400273376294904,0.7951946455953274,1.0454421994392296,697.3791436462499,53.21042803542422,697.142486748313,35312.70130603249,4.0,10.0,50.055048396171,347.99549892171325,200.0,3.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
50.0,-3.437999439985825,False,True,0.1403847577293368,0.11016325875867536,0.8252890535607258,0.86,0.8620689655172413,0.9934877059005693,0.7847237872580953,1.0470460104873618,700.6491264942705,53.43799943998582,700.6228204551616,35488.99236126355,4.0,8.0,50.055048396171,349.6272358657128,200.0,3.5e+20,16.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.8 MW; v0.9 uses bounded BPR bridge factors
50.0,-3.479669158996801,False,True,0.1403847577293368,0.11163320766956589,0.8252890535607258,0.86,0.8620689655172413,0.9400273376294904,0.7951946455953274,1.0454421994392296,701.247880396195,53.4796691589968,701.2600908886247,35521.272334003435,4.0,10.0,50.055048396171,349.9260169014377,200.0,3.5e+20,16.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.8 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.155105858219134,False,True,0.13917960675006308,0.10817921227321806,0.8352890535607258,0.86,0.8,0.9934877059005693,0.7772633850552896,1.045804631177017,691.1663612652237,54.15510585821913,691.900249254478,35047.16367159778,5.0,8.0,62.568810495213754,344.89529105906763,200.0,3.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.1869550270642355,False,True,0.13917960675006308,0.10962268732155842,0.8352890535607258,0.86,0.8,0.9400273376294904,0.7876346964998788,1.0442008201288848,691.6240032789374,54.186955027064236,692.3873303799834,35071.83603144348,5.0,10.0,62.568810495213754,345.1236565935702,200.0,3.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.309785949609363,False,True,0.13917960675006308,0.11517181296762329,0.8352890535607258,0.86,0.8,0.7345105876432686,0.8275049459972058,1.038035317629298,693.3889658439963,54.30978594960936,694.2658291342567,35166.98855287825,5.0,12.0,62.568810495213754,346.0043812811405,200.0,3.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.332735515613708,False,True,0.160480947161671,0.13407341917577717,0.8252890535607258,0.857703681605035,0.8620689655172413,0.7345105876432686,0.8354475814546977,1.0392766969396428,714.3555436961328,54.332735515613706,715.1520051450299,36224.94630027334,4.0,12.0,50.055048396171,356.46680303093154,200.0,3.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.9 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.355701186267391,False,True,0.160480947161671,0.12593321663947274,0.8252890535607258,0.86,0.8620689655172413,0.9934877059005693,0.7847237872580953,1.0470460104873618,713.4470926143241,54.35570118626739,714.2709565144803,36180.31811060181,4.0,8.0,42.304237122665725,356.01348163418453,200.0,2.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.9 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.41165157071528,False,True,0.160480947161671,0.12761358990302743,0.8252890535607258,0.86,0.8620689655172413,0.9400273376294904,0.7951946455953274,1.0454421994392296,714.2421619622186,54.41165157071528,715.1177861372237,36223.212988038584,4.0,10.0,42.304237122665725,356.41022500817076,200.0,2.5e+20,20.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.9 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.413562759048849,False,True,0.12334368540005046,0.09587053043923792,0.8352890535607258,0.86,0.8,0.9934877059005693,0.7772633850552896,1.045804631177017,694.8801390761655,54.41356275904885,695.8529262854881,35247.380565573534,5.0,8.0,62.568810495213754,346.74848379357616,200.0,3.5e+20,16.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
50.0,-4.449227308987699,False,True,0.12334368540005046,0.09714976621524528,0.8352890535607258,0.86,0.8,0.9400273376294904,0.7876346964998788,1.0442008201288848,695.3926044573371,54.4492273089877,696.3983574460107,35275.00855844537,5.0,10.0,62.568810495213754,347.00420644835543,200.0,3.5e+20,16.0,bpr.impedance.TopologicalImpedance; bpr.resonance.load_riemann_zeros,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 7.7 MW; v0.9 uses bounded BPR bridge factors
