source_plant_net_power_mw,plant_net_power_mw,closes_engineering_net,cad_ready,cad_readiness_score,recovery_aggressiveness,collector_capture_efficiency,nozzle_capture_efficiency,power_conditioning_capture_efficiency,recovered_electric_power_mw,recoverable_channel_heat_mw,inferred_rejected_heat_mw,adjusted_rejected_heat_mw,bremsstrahlung_core_mw,transport_wall_mw,collector_waste_mw,nozzle_waste_mw,power_conditioning_heat_mw,unallocated_heat_mw,radiator_temperature_k,radiator_emissivity,topology_packing_factor,adjusted_radiator_area_m2,adjusted_wing_span_each_m,machine_length_m,outer_radius_m,source_blockers,source_design_id,blockers,warnings
-4.75568640968547,0.8956442441644903,True,True,0.29994233394871234,3.0,0.08,0.0,0.0,5.651330653849961,105.96244975968675,706.416331731245,700.765001077395,480.36310557724664,120.09077639431166,70.6416331731245,21.19248995193735,14.1283266346249,0.0,1000.0,0.85,1.0,14539.241187844205,343.73056773645874,21.14918275029815,13.512551494355222,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.954_l21.149_or13.513_plant-4.756,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-5.137406535633907,0.5601439129059624,True,True,0.2941073844308396,3.0,0.08,0.0,0.0,5.69755044853987,106.82907091012255,712.1938060674837,706.4962556189438,484.29178812588896,121.07294703147224,71.21938060674837,21.36581418202451,14.243876121349674,0.0,1000.0,0.85,1.0,14658.151367377131,345.72446288451675,21.19918163308194,13.577661755057031,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.956_l21.199_or13.578_plant-5.137,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-5.190218537274846,0.5137265436332914,True,True,0.28674705691012226,3.0,0.08,0.0,0.0,5.703945080908137,106.94897026702756,712.993135113517,707.2891900326089,484.8353318771916,121.2088329692979,71.29931351135171,21.38979405340551,14.259862702270341,0.0,1000.0,0.85,1.0,14674.602909147472,340.0622693789596,21.576346790761345,14.574008560542099,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.888_l21.576_or14.574_plant-5.190,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.355701186267391,1.3584664658484513,True,True,0.268687689214448,3.0,0.08,0.0,0.0,5.714167652115842,107.14064347717205,714.2709565144803,708.5567888623644,485.70425042984664,121.42606260746166,71.42709565144803,21.42812869543441,14.285419130289606,0.0,1000.0,0.85,1.0,14700.902631717678,390.31360303869695,18.832167925057153,16.815041678088303,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.957_l18.832_or16.815_plant-4.356,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.7502687786855695,1.0116742771178577,True,True,0.2630330607078174,3.0,0.08,0.0,0.0,5.761943055803427,108.03643229631426,720.2428819754284,714.480938919625,489.76515974329135,122.44128993582284,72.02428819754284,21.607286459262852,14.404857639508569,0.0,1000.0,0.85,1.0,14823.81494380956,392.63823892226094,18.877192125375938,16.89883919517267,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.960_l18.877_or16.899_plant-4.750,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.155105858219134,1.3800961358166903,True,True,0.255682640140299,3.0,0.08,0.0,0.0,5.535201994035824,103.7850373881717,691.900249254478,686.3650472604422,470.4921694930451,117.62304237326127,69.1900249254478,20.75700747763434,13.83800498508956,0.0,1000.0,0.85,1.0,14240.47569396736,415.9731047764361,17.117063014952464,16.498227949537174,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.757_l17.117_or16.498_plant-4.155,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.75568640968547,0.8956442441644903,True,True,0.254424887674236,3.0,0.08,0.0,0.0,5.651330653849961,105.96244975968675,706.416331731245,700.765001077395,480.36310557724664,120.09077639431166,70.6416331731245,21.19248995193735,14.1283266346249,0.0,800.0,0.85,2.0,35496.194306260266,419.59297819391935,21.14918275029815,13.512551494355222,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.954_l21.149_or13.513_plant-4.756,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.413562759048849,1.1532606512350574,True,True,0.2522651689860049,3.0,0.08,0.0,0.0,5.566823410283907,104.37793894282323,695.8529262854883,690.2861028752044,473.17998987413205,118.29499746853301,69.58529262854883,20.875587788564648,13.917058525709765,0.0,1000.0,0.85,1.0,14321.828463021651,417.67252661219294,17.144805500122594,16.554410897469324,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.758_l17.145_or16.554_plant-4.414,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-5.137406535633907,0.5601439129059624,True,True,0.2483259028223039,3.0,0.08,0.0,0.0,5.69755044853987,106.82907091012255,712.1938060674837,706.4962556189438,484.29178812588896,121.07294703147224,71.21938060674837,21.36581418202451,14.243876121349674,0.0,800.0,0.85,2.0,35786.50236176058,422.02693223207615,21.19918163308194,13.577661755057031,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.956_l21.199_or13.578_plant-5.137,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.449227308987699,1.1219595505803879,True,True,0.2449746108944641,3.0,0.08,0.0,0.0,5.571186859568087,104.45975361690162,696.3983574460108,690.8271705864427,473.55088306328736,118.38772076582184,69.63983574460109,20.891950723380322,13.927967148920215,0.0,1000.0,0.85,1.0,14333.05435749491,410.87130962401903,17.44226722791965,17.77926754997835,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.704_l17.442_or17.779_plant-4.449,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-5.190218537274846,0.5137265436332914,True,True,0.24171537358220524,3.0,0.08,0.0,0.0,5.703945080908137,106.94897026702756,712.993135113517,707.2891900326089,484.8353318771916,121.2088329692979,71.29931351135171,21.38979405340551,14.259862702270341,0.0,800.0,0.85,2.0,35826.667258660826,415.11507492548793,21.576346790761345,14.574008560542099,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.888_l21.576_or14.574_plant-5.190,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.355701186267391,1.3584664658484513,True,True,0.21700163006205797,3.0,0.08,0.0,0.0,5.714167652115842,107.14064347717205,714.2709565144803,708.5567888623644,485.70425042984664,121.42606260746166,71.42709565144803,21.42812869543441,14.285419130289606,0.0,800.0,0.85,2.0,35890.87556571699,476.4570349593469,18.832167925057153,16.815041678088303,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.957_l18.832_or16.815_plant-4.356,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.7502687786855695,1.0116742771178577,True,True,0.21103916891303362,3.0,0.08,0.0,0.0,5.761943055803427,108.03643229631426,720.2428819754284,714.480938919625,489.76515974329135,122.44128993582284,72.02428819754284,21.607286459262852,14.404857639508569,0.0,800.0,0.85,2.0,36190.95445266006,479.29472524690055,18.877192125375938,16.89883919517267,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.960_l18.877_or16.899_plant-4.750,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.75568640968547,0.11858627926012044,True,True,0.28343914960891853,3.5,0.06,0.03,0.0,4.874272688945591,105.96244975968675,706.416331731245,701.5420590422995,480.36310557724664,120.09077639431166,70.6416331731245,21.19248995193735,14.1283266346249,0.0,1000.0,0.85,1.0,14555.363330290404,344.11172058374717,21.14918275029815,13.512551494355222,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.954_l21.149_or13.513_plant-4.756,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.355701186267391,0.5727684136825237,True,True,0.2519807103841615,3.5,0.06,0.03,0.0,4.928469599949914,107.14064347717205,714.2709565144803,709.3424869145304,485.70425042984664,121.42606260746166,71.42709565144803,21.42812869543441,14.285419130289606,0.0,1000.0,0.85,1.0,14717.204035845592,390.74641046142136,18.832167925057153,16.815041678088303,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.957_l18.832_or16.815_plant-4.356,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.7502687786855695,0.2194071069448862,True,True,0.24619315288464488,3.5,0.06,0.03,0.0,4.969675885630456,108.03643229631426,720.2428819754284,715.273206089798,489.76515974329135,122.44128993582284,72.02428819754284,21.607286459262852,14.404857639508569,0.0,1000.0,0.85,1.0,14840.252641831928,393.0736240662271,18.877192125375938,16.89883919517267,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.960_l18.877_or16.899_plant-4.750,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.155105858219134,0.6190058616367651,True,True,0.23945074502381833,3.5,0.06,0.03,0.0,4.774111719855899,103.7850373881717,691.900249254478,687.1261375346221,470.4921694930451,117.62304237326127,69.1900249254478,20.75700747763434,13.83800498508956,0.0,1000.0,0.85,1.0,14256.266544031234,416.4343652756841,17.117063014952464,16.498227949537174,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.757_l17.117_or16.498_plant-4.155,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.75568640968547,0.11858627926012044,True,True,0.23787123035974259,3.5,0.06,0.03,0.0,4.874272688945591,105.96244975968675,706.416331731245,701.5420590422995,480.36310557724664,120.09077639431166,70.6416331731245,21.19248995193735,14.1283266346249,0.0,800.0,0.85,2.0,35535.55500559181,420.058252665707,21.14918275029815,13.512551494355222,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.954_l21.149_or13.513_plant-4.756,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.413562759048849,0.38782243232101976,True,True,0.2359451843111206,3.5,0.06,0.03,0.0,4.801385191369869,104.37793894282323,695.8529262854883,691.0515410941184,473.17998987413205,118.29499746853301,69.58529262854883,20.875587788564648,13.917058525709765,0.0,1000.0,0.85,1.0,14337.709522809275,418.13567155097655,17.144805500122594,16.554410897469324,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.758_l17.145_or16.554_plant-4.414,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.449227308987699,0.3559213573897759,True,True,0.22864715173728642,3.5,0.06,0.03,0.0,4.805148666377475,104.45975361690162,696.3983574460108,691.5932087796333,473.55088306328736,118.38772076582184,69.63983574460109,20.891950723380322,13.927967148920215,0.0,1000.0,0.85,1.0,14348.947865351001,411.32691289073915,17.44226722791965,17.77926754997835,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.704_l17.442_or17.779_plant-4.449,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.355701186267391,0.5727684136825237,True,True,0.20023733806134042,3.5,0.06,0.03,0.0,4.928469599949914,107.14064347717205,714.2709565144803,709.3424869145304,485.70425042984664,121.42606260746166,71.42709565144803,21.42812869543441,14.285419130289606,0.0,800.0,0.85,2.0,35930.673915638654,476.98536433278974,18.832167925057153,16.815041678088303,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.957_l18.832_or16.815_plant-4.356,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.7502687786855695,0.2194071069448862,True,True,0.19414160657274993,3.5,0.06,0.03,0.0,4.969675885630456,108.03643229631426,720.2428819754284,715.273206089798,489.76515974329135,122.44128993582284,72.02428819754284,21.607286459262852,14.404857639508569,0.0,800.0,0.85,2.0,36231.08555134749,479.82620125271876,18.877192125375938,16.89883919517267,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.960_l18.877_or16.899_plant-4.750,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.75568640968547,0.8956442441644903,True,True,0.40672159827795484,4.0,0.08,0.0,0.0,5.651330653849961,105.96244975968675,706.416331731245,700.765001077395,480.36310557724664,120.09077639431166,70.6416331731245,21.19248995193735,14.1283266346249,0.0,1200.0,0.85,1.0,7011.593937039064,165.76512718772122,21.14918275029815,13.512551494355222,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.954_l21.149_or13.513_plant-4.756,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
-4.75568640968547,0.8956442441644903,True,True,0.40306150426964993,4.0,0.08,0.0,0.0,5.651330653849961,105.96244975968675,706.416331731245,700.765001077395,480.36310557724664,120.09077639431166,70.6416331731245,21.19248995193735,14.1283266346249,0.0,1000.0,0.85,2.0,14539.241187844205,171.86528386822937,21.14918275029815,13.512551494355222,radiator wing span exceeds CAD envelope limit; source plant is net-negative,r0.954_l21.149_or13.513_plant-4.756,none,v1.3 only allows collector/nozzle channel recovery; core heat remains radiator load; source v1.1 blockers: radiator wing span exceeds CAD envelope limit; source plant is net-negative
