reference_name,screening_net_power_mw,plant_net_power_mw,engineering_load_mw,current_drive_mw,formation_average_mw,cryogenic_wallplug_mw,power_conditioning_loss_mw,thermal_rejection_parasitic_mw,fixed_balance_of_plant_mw,conversion_waste_mw,rejected_heat_mw,radiator_area_m2,gross_fusion_mw,useful_power_mw,bremsstrahlung_loss_mw,transport_loss_mw,magnetic_energy_mj,magnet_mass_proxy_tonnes,required_field_t,separatrix_radius_m,length_m,temperature_kev,ion_density_m3,confinement_s,closes_engineering_net,warnings
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau20,10.0,-15.267929718854159,25.26792971885416,7.353753312332709,1.5,0.32167962723828136,12.687245061196155,1.905251718087013,1.5,50.50653908673161,381.0503436174026,19301.53049412455,367.68766561663546,317.18112652990385,305.9008543127043,1.2802722171995007,133.8846763084445,51.46874035812501,10.882675218105557,0.5618147225050399,3.37088833503024,200.0,5e+20,20.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau16,10.0,-16.00198829658138,26.00198829658138,7.596906004694904,1.5,0.32894252990048295,13.106750266805264,1.9693894951807291,1.5,52.17654356461361,393.87789903614583,19951.29096863167,379.8453002347452,327.6687566701316,316.01550096495043,1.6532557051811294,138.3115884073102,52.63080478407727,10.882675218105557,0.5679398570608492,3.407639142365095,200.0,5e+20,16.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau20,10.0,-16.640107917676264,26.640107917676264,7.780669376653247,1.5,0.41736946351689175,13.42379257626066,2.0182765012454658,1.5,53.43865442614583,403.6553002490931,20446.55048178009,389.0334688326623,335.5948144065165,323.6596753186329,1.9351390878836285,202.36748631462785,66.77911416270268,9.105099336741922,0.7261567698200839,4.356940618920504,200.0,3.5e+20,20.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau12,10.0,-17.339585130403783,27.339585130403783,8.03997728171215,1.5,0.34217694456450043,13.87116996275394,2.0862609413731907,1.5,55.219615016759064,417.2521882746382,21135.280339254674,401.9988640856076,346.7792490688485,334.4463452432994,2.332903825549105,146.37827925013994,54.748311130320076,10.882675218105557,0.57877314362316,3.47263886173896,200.0,5e+20,12.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau16,10.0,-17.839340376746197,27.839340376746197,8.176222574008241,1.5,0.43424812489395503,14.106230528206398,2.122639149637603,1.5,56.15536549525211,424.5278299275206,21503.81699479023,408.81112870041204,352.65576320515993,340.11386624098674,2.541896964173139,212.65543229683783,69.4796999830328,9.105099336741922,0.7382593771051255,4.4295562626307525,200.0,3.5e+20,16.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n2.5e+20_tau20,10.0,-18.750630963764237,28.750630963764237,8.433466612154884,1.5,0.5759531865059474,14.550047177185451,2.1911639879179523,1.5,57.92215117810787,438.2327975835904,22198.021462954213,421.67333060774416,363.7511794296363,350.8146835914868,2.936495838149485,307.0845320940638,92.15250984095158,7.69521344417323,0.9334953033077374,5.600971819846425,200.0,2.5e+20,20.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau12,10.0,-20.13410736113446,30.13410736113446,8.93312538379662,1.5,0.46654594553399453,15.412095849958249,2.3223401818455987,1.5,61.35387294087474,464.4680363691197,23526.927918285928,446.65626918983094,385.3023962489562,371.5994500390792,3.7029462098769512,232.34172297267145,74.64735128543913,9.105099336741922,0.7603715868916248,4.562229521349749,200.0,3.5e+20,12.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau8,10.0,-20.54465955601579,30.54465955601579,9.101639796741535,1.5,0.3738885058548879,15.702829515145277,2.3663017382740925,1.5,62.51125195844486,473.26034765481853,23972.289186783157,455.0819898370768,392.5707378786319,378.60929939007696,3.961438488555018,165.70723089380468,59.82216093678206,10.882675218105557,0.6032027481594652,3.6192164889567913,200.0,5e+20,8.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n2.5e+20_tau16,10.0,-20.787850432428097,30.787850432428097,9.101639796741535,1.5,0.6158694774094206,15.702829515145277,2.3675116431318655,1.5,62.51125195844486,473.50232862637307,23984.54636796588,455.0819898370768,392.5707378786319,378.60929939007696,3.961438488555018,331.41446178760935,98.5391163855073,7.69521344417323,0.9575246769784438,5.745148061870663,200.0,2.5e+20,16.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau6,9.999999999999998,-24.72495722372004,34.72495722372004,10.48633941557142,1.5,0.4152490947517132,18.091816832788492,2.731551880608413,1.5,72.02154995885866,546.3103761216826,27672.52821206414,524.316970778571,452.2954208197123,436.2099256792626,6.085495140449773,190.9174946023458,66.4398551602741,10.882675218105557,0.6323604992719444,3.794162995631666,200.0,5e+20,6.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n3.5e+20_tau8,10.0,-26.287862473834636,36.287862473834636,10.962871570333302,1.5,0.5531573009547716,18.913965736922187,2.857867865624377,1.5,75.2944350936105,571.5735731248753,28952.197356847275,548.1435785166651,472.8491434230546,456.03267292925074,6.816470493803889,285.1334062767641,88.50516815276345,9.105099336741922,0.8140783010375092,4.884469806225056,200.0,3.5e+20,8.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
lunarfire_frc_10mw_v0_1_t200_n5.0e+20_tau4,10.0,-38.57029989276893,48.57029989276893,15.072529739891047,1.5,0.5522373122880726,26.004255293886718,3.9412775467030907,1.5,103.52010464738441,788.2555093406181,39927.89405794613,753.6264869945524,650.1063823471679,626.9859115825765,13.120470764591419,274.41507481498394,88.35796996609162,10.882675218105557,0.71365034481041,4.28190206886246,200.0,5e+20,4.0,False,D-D side reactions included as neutron source; reference design uses optimistic transport/direct-conversion assumptions; high-field HTS magnet regime; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design
