target_screening_net_mw,plant_net_power_mw,closes_engineering_net,screening_net_power_mw,engineering_load_mw,gross_fusion_mw,rejected_heat_mw,radiator_area_m2,midplane_field_t,mirror_ratio,plug_field_t,max_plug_field_t,collector_voltage_kv,direct_conversion_efficiency,end_loss_multiplier,transport_loss_multiplier,separatrix_radius_m,length_m,plasma_volume_m3,magnet_mass_proxy_tonnes,plug_coil_mass_proxy_tonnes,effective_magnet_mass_proxy_tonnes,neutron_wall_load_mw_m2,temperature_kev,ion_density_m3,confinement_s,warnings
50.0,4.574454876110565,True,50.0,45.425545123889435,666.8874798857195,659.0179353329441,33381.55964970214,12.51376209904275,5.0,62.568810495213754,65.0,1500.0,0.88,0.36,0.42,0.6943455376188521,6.9434553761885205,10.516635430567009,228.9312393288766,501.1015739886043,730.0328133174809,0.03983775372258155,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,2.6569317630126648,True,50.0,47.343068236987335,699.3671060069133,693.2439544715429,35115.227032927105,12.51376209904275,5.0,62.568810495213754,65.0,1500.0,0.88,0.36,0.42,0.7054396424282965,7.054396424282965,11.028830361706294,238.98391702525296,501.1015739886043,740.0854910138572,0.040474272849192174,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,1.7750470713471742,True,50.0,48.224952928652826,720.4191843227441,715.068793284972,36220.73132899386,10.576059280666431,5.0,52.88029640333215,65.0,1500.0,0.88,0.36,0.42,0.8916037935155001,8.916037935155002,22.267199263080876,331.2017873895888,357.9296957061458,689.1314830957347,0.026099670826246917,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-0.9906737083702808,False,50.0,50.99067370837028,761.1514261743704,758.3503481420305,38413.09321738893,12.51376209904275,5.0,62.568810495213754,65.0,1500.0,0.88,0.36,0.42,0.7256298656369984,7.256298656369983,12.003152402716752,258.1066081244553,501.1015739886043,759.2081821130596,0.041632677557243675,200.0,3.5e+20,12.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-1.480262707972365,False,50.0,51.480262707972365,774.8418256873617,772.4597894480937,39127.785688306845,10.576059280666431,5.0,52.88029640333215,65.0,1500.0,0.88,0.36,0.42,0.9135125183329293,9.135125183329293,23.949330758271923,354.78366543755635,357.9296957061458,712.7133611437022,0.026740998857953842,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-1.5255156572083521,False,50.0,51.52551565720835,798.8285269264263,796.3721816752584,40339.03185430822,12.51376209904275,4.0,50.055048396171,65.0,1500.0,0.8650000000000001,0.44,0.5,0.7374104977341635,7.374104977341634,12.597310104939645,269.76794157026023,281.8696353685899,551.6375769388501,0.042308585869109024,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-4.848143748534255,False,50.0,54.848143748534255,855.4836585644777,856.0515445900617,43361.99998034298,12.51376209904275,4.0,50.055048396171,65.0,1500.0,0.8650000000000001,0.44,0.5,0.7544469377076143,7.544469377076143,13.49074622824229,287.3031119591665,281.8696353685899,569.1727473277564,0.043286043724313716,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-7.245058461677317,False,50.0,57.24505846167732,893.5055934163305,896.2693053512515,45399.16999931803,10.576059280666431,4.0,42.304237122665725,65.0,1500.0,0.8650000000000001,0.44,0.5,0.9579494146031606,9.579494146031607,27.617070067314465,406.2018698673799,201.335453834707,607.537323702087,0.028041787811105556,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-8.15616912489822,False,50.0,58.15616912489822,886.4503930256293,890.1557832343557,45089.49875628603,10.576059280666431,5.0,52.88029640333215,65.0,1500.0,0.88,0.36,0.42,0.9554213975352212,9.554213975352212,27.399003202412196,403.1447805559145,357.9296957061458,761.0744762620603,0.027967785867869983,200.0,2.5e+20,12.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-10.634256566564936,False,50.0,60.634256566564936,924.4975488695424,930.4794083941365,47132.03117671766,12.51376209904275,5.0,62.568810495213754,65.0,1500.0,0.88,0.36,0.42,0.7742122679396367,7.742122679396367,14.579076637605926,308.66340697060383,501.1015739886043,809.7649809592081,0.04442007039456365,200.0,3.5e+20,8.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-11.57358546928424,False,50.0,61.57358546928424,970.1611895851346,976.8505224422078,49480.89002657096,12.51376209904275,4.0,50.055048396171,65.0,1500.0,0.8650000000000001,0.44,0.5,0.786754845632455,7.86754845632455,15.299179917878295,322.79663192966336,281.8696353685899,604.6662672982533,0.04513969498218089,200.0,3.5e+20,12.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
50.0,-13.38845844448987,False,50.0,63.38845844448987,996.8877373765715,1005.2499460906083,50919.4200023254,10.576059280666431,4.0,42.304237122665725,65.0,1500.0,0.8650000000000001,0.44,0.5,0.9935557378633211,9.935557378633211,30.812474701036578,450.99839297022277,201.335453834707,652.3338468049297,0.029084081847068472,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.5 uses explicit mirror-ratio end-loss proxy; collector voltage is a staged direct-conversion proxy
